situationKey,situationCateKey,headline1,headline2,mainKeyword
1,19300001,효율성과 생산성을 높이는,짱짱한 탕비실 간식 펜트리,탕비실 간식
2,19300001,능률이 올라가는,휴식시간 간식은 직장인의 원동력,휴식시간 간식
3,19300001,건강한 선택,비건 간식으로 하루를 채우세요!,비건 간식
4,19300001,활력을 더하는 완벽한 간식,탕비실 필수템 모음!,탕비실
5,19300002,피곤한 오후 기분 전환에,달콤한 초콜릿 한 입 하세요!,초콜릿
6,19300003,요즘 트랜드!,비건으로 건강 챙기기,비건
7,19300003,바쁜 아침,간편하고 빠른 에너지 충전!,에너지 충전
8,19300004,건강한 에너지원,올해 다이어트 간식은 여기서!,다이어트
9,19300005,건강한 단백질바로,근육과 활력을 동시에!,근육과 활력
10,19300005,아침을 책임지는 건강한 선택,에너지바로 든든하게!,에너지바
11,19300005,활력 넘치는 하루의 시작,간편하고 가벼운 아침을 위해!,가벼운 아침
12,19300006,피곤한 오후,커피 한 잔으로 리프레시,커피
13,19300006,카페인 없는 여유,디카페인으로 스트레스 없이 충전하세요!,디카페인
14,19300007,활력 넘치는 하루,비타민으로 시작하세요!,비타민
15,19300007,활력 충전!,직장인 필수 비타민,비타민
16,19300007,조금씩 꾸준한 관리하기,직장인 건강 관리는 여기서!,건강 관리
17,19300008,더블 체크 필수!,사무실 이전할 때 꼭 챙겨야 할 필수 물품 리스트,사무실 이전
18,19300009,효율적인 공간 활용을 위한,사무실 수납 솔루션,사무실 수납
19,19300009,생산성 업!,업무 생산성을 극대화하는 공간 활용법,공간 활용법
20,19300009,업무 효율을 높이는,깔끔한 업무환경을 위한 필수 아이템,업무환경
21,19300010,신속하고 안정적인,최적의 네트워크 업무환경을 위한 필수 아이템,업무환경
22,19300011,찰떡템으로 책(상)꾸(미기),찰떡 업무환경 꾸미기,업무환경
23,19300009,사무실 정리는,다용도 정리함으로 시작하세요!,다용도 정리함
24,19300009,정리의 미학,탁월한 정리 도구로 생산성 업!,정리 도구
25,19300013,효율성과 생산성을 높이는,효과적인 회의를 위한 방법,회의
26,19300014,성공을 위한,시간관리의 신! 알찬 하루를 보내는 방법,시간관리
27,19300015,활기찬 하루를 여는,지루한 출근시간 활용 노하우,출근시간
28,19300015,활기찬 하루의 시작,출근 준비 더포마켓과 함께 해요,출근 준비
29,19300016,바쁘다 바빠,바쁜 일상! 간편한 메뉴로 해결,간편한 메뉴
30,19300016,건강이 최고,올해 다이어트 식단은 여기서,다이어트 식단
